state_name,year,vmt
Alabama,2015,67257004645.149994
Alaska,2015,5045390230.545
Arizona,2015,65044858066.445
Arkansas,2015,34897334232.55
California,2015,335538556628.495
Colorado,2015,50437338346.299995
Connecticut,2015,31591793664.5
Delaware,2015,9930610378.199999
District of Columbia,2015,3557192653.295
Florida,2015,206982464203.59
Georgia,2015,118106561075.04999
Hawaii,2015,10300529880.795
Idaho,2015,16661949707.2
Illinois,2015,105223406019.75
Indiana,2015,78818672611.05
Iowa,2015,33160975734.28
Kansas,2015,31379124590.815002
Kentucky,2015,48674696010.275
Louisiana,2015,48180252571.74999
Maine,2015,14629439171.25
Maryland,2015,57515823721.87
Massachusetts,2015,59257480567.475006
Michigan,2015,97843196500.47499
Minnesota,2015,57394871669.51501
Mississippi,2015,39890362479.38999
Missouri,2015,71917518586.04001
Montana,2015,12345071263.869999
Nebraska,2015,20100958613.850002
Nevada,2015,25925442104.25
New Hampshire,2015,13093741758.215
New Jersey,2015,75393419312.04999
New Mexico,2015,27435418381.745003
New York,2015,121698639405.7
North Carolina,2015,111878568783.45999
North Dakota,2015,10036216840.2
Ohio,2015,113672505196.645
Oklahoma,2015,47713000208.85
Oregon,2015,35998504537.0
Pennsylvania,2015,100945060178.56499
Rhode Island,2015,7832561416.289999
South Carolina,2015,51726048483.990005
South Dakota,2015,9324353331.915
Tennessee,2015,76670318405.25
Texas,2015,258122309171.84998
Utah,2015,29603663493.735004
Vermont,2015,7313841851.6
Virginia,2015,82624527638.79
Washington,2015,59652504240.345
West Virginia,2015,19826642966.670002
Wisconsin,2015,62073368217.534996
Wyoming,2015,9597036264.745
Alabama,2016,69226970805.46399
Alaska,2016,5258555817.806
Arizona,2016,65785730038.06801
Arkansas,2016,35754796895.4
California,2016,340114936761.58795
Colorado,2016,52151611114.49999
Connecticut,2016,31638569003.600002
Delaware,2016,10177585228.720001
District of Columbia,2016,3621959298.0699997
Florida,2016,215550749348.16205
Georgia,2016,122802185880.81
Hawaii,2016,10635428443.076002
Idaho,2016,17198715356.789997
Illinois,2016,107314102714.04001
Indiana,2016,83182775677.446
Iowa,2016,33336972029.712
Kansas,2016,32102609713.276
Kentucky,2016,49312717997.147995
Louisiana,2016,49155612969.68001
Maine,2016,14838257522.859999
Maryland,2016,59137327158.162
Massachusetts,2016,61824851347.322
Michigan,2016,99432538091.22401
Minnesota,2016,59028801692.745995
Mississippi,2016,40754708862.712
Missouri,2016,74018576463.324
Montana,2016,12598722871.646
Nebraska,2016,20699915995.129997
Nevada,2016,26787988359.66
New Hampshire,2016,13512596543.442
New Jersey,2016,77092632156.34
New Mexico,2016,27885520839.390003
New York,2016,122336683410.0
North Carolina,2016,116748680917.97401
North Dakota,2016,9739208759.072
Ohio,2016,118607622342.72
Oklahoma,2016,49013277923.4
Oregon,2016,36719188656.600006
Pennsylvania,2016,101362492867.728
Rhode Island,2016,7927070506.619999
South Carolina,2016,54552642226.299995
South Dakota,2016,9506534322.751999
Tennessee,2016,76883747376.66
Texas,2016,271262838263.53198
Utah,2016,31448897057.526
Vermont,2016,7381890091.6
Virginia,2016,84462671606.042
Washington,2016,61017810943.993996
West Virginia,2016,19539442679.694004
Wisconsin,2016,64046406586.158005
Wyoming,2016,9322542398.558002
Alabama,2017,69226970805.46399
Alaska,2017,5258555817.806
Arizona,2017,65785730038.06801
Arkansas,2017,35754796895.4
California,2017,340114936761.58795
Colorado,2017,52151611114.49999
Connecticut,2017,31638569003.600002
Delaware,2017,10177585228.720001
District of Columbia,2017,3621959298.0699997
Florida,2017,215550749348.16205
Georgia,2017,122802185880.81
Hawaii,2017,10635428443.076002
Idaho,2017,17198715356.789997
Illinois,2017,107314102714.04001
Indiana,2017,83182775677.446
Iowa,2017,33336972029.712
Kansas,2017,32102609713.276
Kentucky,2017,49312717997.147995
Louisiana,2017,49155612969.68001
Maine,2017,14838257522.859999
Maryland,2017,59137327158.162
Massachusetts,2017,61824851347.322
Michigan,2017,99432538091.22401
Minnesota,2017,59028801692.745995
Mississippi,2017,40754708862.712
Missouri,2017,74018576463.324
Montana,2017,12598722871.646
Nebraska,2017,20699915995.129997
Nevada,2017,26787988359.66
New Hampshire,2017,13512596543.442
New Jersey,2017,77092632156.34
New Mexico,2017,27885520839.390003
New York,2017,122336683410.0
North Carolina,2017,116748680917.97401
North Dakota,2017,9739208759.072
Ohio,2017,118607622342.72
Oklahoma,2017,49013277923.4
Oregon,2017,36719188656.600006
Pennsylvania,2017,101362492867.728
Rhode Island,2017,7927070506.619999
South Carolina,2017,54552642226.299995
South Dakota,2017,9506534322.751999
Tennessee,2017,76883747376.66
Texas,2017,271262838263.53198
Utah,2017,31448897057.526
Vermont,2017,7381890091.6
Virginia,2017,84462671606.042
Washington,2017,61017810943.993996
West Virginia,2017,19539442679.694004
Wisconsin,2017,64046406586.158005
Wyoming,2017,9322542398.558002
Alabama,2018,70677248198.3
Alaska,2018,5518716306.595001
Arizona,2018,65069578937.590004
Arkansas,2018,36389325154.34999
California,2018,343862112403.25494
Colorado,2018,53382102720.299995
Connecticut,2018,31500061535.999996
Delaware,2018,10466906999.8
District of Columbia,2018,3715864584.85
Florida,2018,218825803410.22
Georgia,2018,124733394362.3
Hawaii,2018,10748619469.215
Idaho,2018,17300371938.184998
Illinois,2018,108011255298.70003
Indiana,2018,81751856767.91
Iowa,2018,33482087686.754997
Kansas,2018,32258188961.929996
Kentucky,2018,49239334095.810005
